"Datum"	"Gemeldete Todesfälle 0 - 64 Jahre"	"Untere Grenze Erwartungsbereich 0 - 64 Jahre"	"Obere Grenze Erwartungsbereich 0 - 64 Jahre"	"Gemeldete Todesfälle 65+ Jahre"	"Untere Grenze Erwartungsbereich 65+ Jahre"	"Obere Grenze Erwartungsbereich 65+ Jahre"	"JahrKW"
2009-03-02	5	0.0	11.5	36	20.4	51.2	2009-10
2009-03-09	7	0.0	11.5	43	20.1	50.8	2009-11
2009-03-16	3	0.0	11.5	37	19.9	50.5	2009-12
2009-03-23	8	0.0	11.4	33	19.7	50.1	2009-13
2009-03-30	7	0.0	11.4	44	19.5	49.8	2009-14
2009-04-06	4	0.0	11.4	40	19.3	49.5	2009-15
2009-04-13	6	0.0	11.3	33	19.1	49.1	2009-16
2009-04-20	9	0.0	11.3	34	18.9	48.8	2009-17
2009-04-27	7	0.0	11.3	30	18.7	48.5	2009-18
2009-05-04	10	0.0	11.3	30	18.5	48.2	2009-19
2009-05-11	7	0.0	11.3	36	18.2	47.9	2009-20
2009-05-18	3	0.0	11.3	31	18.0	47.6	2009-21
2009-05-25	2	0.0	11.3	31	18.0	47.4	2009-22
2009-06-01	5	0.0	11.3	32	17.9	47.3	2009-23
2009-06-08	2	0.0	11.4	24	17.8	47.1	2009-24
2009-06-15	4	0.0	11.4	31	17.7	47.0	2009-25
2009-06-22	4	0.0	11.4	26	17.6	46.9	2009-26
2009-06-29	3	0.0	11.5	25	17.5	46.7	2009-27
2009-07-06	7	0.0	11.5	32	17.6	46.8	2009-28
2009-07-13	6	0.0	11.5	36	17.6	46.8	2009-29
2009-07-20	4	0.0	11.6	23	17.6	46.9	2009-30
2009-07-27	5	0.0	11.6	32	17.6	46.9	2009-31
2009-08-03	2	0.0	11.7	39	17.7	47.0	2009-32
2009-08-10	9	0.0	11.7	29	17.7	47.0	2009-33
2009-08-17	7	0.0	11.7	30	17.7	47.1	2009-34
2009-08-24	6	0.0	11.7	28	17.8	47.2	2009-35
2009-08-31	6	0.0	11.7	36	17.9	47.3	2009-36
2009-09-07	6	0.0	11.7	42	18.0	47.4	2009-37
2009-09-14	7	0.0	11.6	39	18.0	47.5	2009-38
2009-09-21	4	0.0	11.6	37	18.1	47.7	2009-39
2009-09-28	4	0.0	11.6	35	18.2	47.8	2009-40
2009-10-05	4	0.0	11.5	30	18.3	47.9	2009-41
2009-10-12	4	0.0	11.5	35	18.3	48.0	2009-42
2009-10-19	10	0.0	11.4	34	18.4	48.1	2009-43
2009-10-26	6	0.0	11.3	23	18.5	48.2	2009-44
2009-11-02	6	0.0	11.3	34	18.6	48.4	2009-45
2009-11-09	10	0.0	11.2	41	18.6	48.5	2009-46
2009-11-16	10	0.0	11.2	42	18.7	48.6	2009-47
2009-11-23	3	0.0	11.1	38	18.8	48.7	2009-48
2009-11-30	6	0.0	11.0	42	18.9	48.8	2009-49
2009-12-07	9	0.0	11.0	45	18.9	48.9	2009-50
2009-12-14	5	0.0	10.9	40	19.0	49.1	2009-51
2009-12-21	2	0.0	10.8	36	19.1	49.2	2009-52
2009-12-28	7	0.0	10.8	36	19.2	49.3	2009-53
2010-01-04	2	0.0	11.7	31	23.7	56.2	2010-01
2010-01-11	4	0.0	11.7	45	23.4	55.9	2010-02
2010-01-18	2	0.0	11.6	39	23.2	55.5	2010-03
2010-01-25	5	0.0	11.6	33	22.9	55.1	2010-04
2010-02-01	4	0.0	11.6	37	22.6	54.7	2010-05
2010-02-08	3	0.0	11.6	37	22.4	54.3	2010-06
2010-02-15	6	0.0	11.5	41	22.1	53.9	2010-07
2010-02-22	6	0.0	11.5	34	21.9	53.5	2010-08
2010-03-01	7	0.0	11.5	42	21.6	53.1	2010-09
2010-03-08	5	0.0	11.5	50	21.4	52.7	2010-10
2010-03-15	2	0.0	11.4	34	21.1	52.4	2010-11
2010-03-22	2	0.0	11.4	38	20.9	52.0	2010-12
2010-03-29	6	0.0	11.4	31	20.6	51.6	2010-13
2010-04-05	7	0.0	11.4	30	20.4	51.2	2010-14
2010-04-12	6	0.0	11.4	40	20.2	50.9	2010-15
2010-04-19	10	0.0	11.3	42	20.0	50.6	2010-16
2010-04-26	9	0.0	11.3	32	19.8	50.2	2010-17
2010-05-03	5	0.0	11.3	40	19.6	49.9	2010-18
2010-05-10	6	0.0	11.3	35	19.3	49.6	2010-19
2010-05-17	3	0.0	11.3	30	19.1	49.3	2010-20
2010-05-24	8	0.0	11.3	33	18.9	48.9	2010-21
2010-05-31	4	0.0	11.3	30	18.8	48.8	2010-22
2010-06-07	6	0.0	11.3	34	18.8	48.7	2010-23
2010-06-14	5	0.0	11.3	29	18.7	48.6	2010-24
2010-06-21	5	0.0	11.3	30	18.6	48.4	2010-25
2010-06-28	11	0.0	11.3	41	18.5	48.3	2010-26
2010-07-05	5	0.0	11.4	42	18.4	48.2	2010-27
2010-07-12	8	0.0	11.4	38	18.5	48.2	2010-28
2010-07-19	6	0.0	11.4	31	18.5	48.2	2010-29
2010-07-26	6	0.0	11.4	37	18.5	48.3	2010-30
2010-08-02	5	0.0	11.4	33	18.5	48.3	2010-31
2010-08-09	2	0.0	11.5	27	18.6	48.4	2010-32
2010-08-16	2	0.0	11.5	39	18.6	48.4	2010-33
2010-08-23	8	0.0	11.5	28	18.6	48.4	2010-34
2010-08-30	9	0.0	11.5	45	18.7	48.6	2010-35
2010-09-06	11	0.0	11.5	32	18.8	48.7	2010-36
2010-09-13	10	0.0	11.5	48	18.9	48.9	2010-37
2010-09-20	6	0.0	11.4	29	19.0	49.0	2010-38
2010-09-27	3	0.0	11.4	40	19.1	49.2	2010-39
2010-10-04	6	0.0	11.4	28	19.2	49.3	2010-40
2010-10-11	6	0.0	11.4	33	19.3	49.5	2010-41
2010-10-18	7	0.0	11.4	33	19.4	49.6	2010-42
2010-10-25	4	0.0	11.3	51	19.5	49.8	2010-43
2010-11-01	7	0.0	11.3	39	19.6	49.9	2010-44
2010-11-08	6	0.0	11.3	44	19.7	50.1	2010-45
2010-11-15	9	0.0	11.3	36	19.7	50.2	2010-46
2010-11-22	4	0.0	11.2	39	19.8	50.4	2010-47
2010-11-29	7	0.0	11.2	31	19.9	50.5	2010-48
2010-12-06	4	0.0	11.2	41	20.0	50.7	2010-49
2010-12-13	7	0.0	11.1	39	20.1	50.8	2010-50
2010-12-20	6	0.0	11.1	36	20.3	51.0	2010-51
2010-12-27	5	0.0	11.1	26	20.4	51.2	2010-52
2011-01-03	9	0.0	11.2	39	24.4	57.3	2011-01
2011-01-10	3	0.0	11.2	43	24.1	56.9	2011-02
2011-01-17	1	0.0	11.2	30	23.9	56.5	2011-03
2011-01-24	5	0.0	11.2	44	23.6	56.1	2011-04
2011-01-31	4	0.0	11.2	36	23.3	55.7	2011-05
2011-02-07	5	0.0	11.2	38	23.1	55.4	2011-06
2011-02-14	7	0.0	11.2	37	22.8	55.0	2011-07
2011-02-21	3	0.0	11.2	31	22.6	54.6	2011-08
2011-02-28	9	0.0	11.2	35	22.4	54.2	2011-09
2011-03-07	8	0.0	11.2	37	22.1	53.9	2011-10
2011-03-14	4	0.0	11.2	50	21.9	53.5	2011-11
2011-03-21	2	0.0	11.2	33	21.6	53.1	2011-12
2011-03-28	8	0.0	11.3	24	21.4	52.8	2011-13
2011-04-04	4	0.0	11.3	45	21.2	52.4	2011-14
2011-04-11	4	0.0	11.3	33	20.9	52.1	2011-15
2011-04-18	3	0.0	11.3	33	20.7	51.7	2011-16
2011-04-25	3	0.0	11.3	27	20.5	51.4	2011-17
2011-05-02	5	0.0	11.3	34	20.3	51.0	2011-18
2011-05-09	5	0.0	11.3	33	20.1	50.7	2011-19
2011-05-16	9	0.0	11.3	34	19.8	50.4	2011-20
2011-05-23	2	0.0	11.3	28	19.6	50.0	2011-21
2011-05-30	6	0.0	11.4	30	19.5	49.8	2011-22
2011-06-06	6	0.0	11.4	33	19.4	49.6	2011-23
2011-06-13	5	0.0	11.4	25	19.3	49.4	2011-24
2011-06-20	4	0.0	11.4	29	19.1	49.3	2011-25
2011-06-27	3	0.0	11.4	34	19.0	49.1	2011-26
2011-07-04	5	0.0	11.4	31	18.9	48.9	2011-27
2011-07-11	6	0.0	11.4	34	18.9	48.9	2011-28
2011-07-18	5	0.0	11.4	25	18.9	48.9	2011-29
2011-07-25	7	0.0	11.4	38	18.9	48.9	2011-30
2011-08-01	6	0.0	11.4	35	18.9	48.9	2011-31
2011-08-08	7	0.0	11.4	34	18.9	48.9	2011-32
2011-08-15	4	0.0	11.4	37	18.9	48.9	2011-33
2011-08-22	5	0.0	11.4	28	18.9	49.0	2011-34
2011-08-29	3	0.0	11.4	32	19.0	49.1	2011-35
2011-09-05	4	0.0	11.4	33	19.1	49.2	2011-36
2011-09-12	6	0.0	11.4	40	19.2	49.4	2011-37
2011-09-19	3	0.0	11.4	20	19.3	49.5	2011-38
2011-09-26	5	0.0	11.4	38	19.4	49.7	2011-39
2011-10-03	4	0.0	11.4	30	19.5	49.8	2011-40
2011-10-10	6	0.0	11.4	31	19.6	50.0	2011-41
2011-10-17	5	0.0	11.4	36	19.7	50.1	2011-42
2011-10-24	2	0.0	11.4	43	19.8	50.2	2011-43
2011-10-31	9	0.0	11.4	46	19.8	50.4	2011-44
2011-11-07	3	0.0	11.4	33	19.9	50.5	2011-45
2011-11-14	8	0.0	11.4	55	20.0	50.6	2011-46
2011-11-21	4	0.0	11.4	40	20.1	50.8	2011-47
2011-11-28	5	0.0	11.4	34	20.2	50.9	2011-48
2011-12-05	7	0.0	11.4	38	20.3	51.1	2011-49
2011-12-12	4	0.0	11.4	29	20.4	51.2	2011-50
2011-12-19	7	0.0	11.4	43	20.5	51.4	2011-51
2011-12-26	5	0.0	11.3	30	20.6	51.5	2011-52
2012-01-02	6	0.0	10.7	37	23.8	56.4	2012-01
2012-01-09	6	0.0	10.7	39	23.5	56.0	2012-02
2012-01-16	4	0.0	10.7	37	23.3	55.6	2012-03
2012-01-23	4	0.0	10.7	37	23.0	55.3	2012-04
2012-01-30	7	0.0	10.8	24	22.8	54.9	2012-05
2012-02-06	7	0.0	10.8	40	22.5	54.5	2012-06
2012-02-13	9	0.0	10.8	37	22.3	54.1	2012-07
2012-02-20	7	0.0	10.8	39	22.0	53.8	2012-08
2012-02-27	7	0.0	10.8	25	21.8	53.4	2012-09
2012-03-05	7	0.0	10.8	38	21.5	53.0	2012-10
2012-03-12	7	0.0	10.8	37	21.3	52.6	2012-11
2012-03-19	4	0.0	10.8	31	20.9	52.0	2012-12
2012-03-26	3	0.0	10.9	34	20.5	51.4	2012-13
2012-04-02	4	0.0	10.9	29	20.2	50.9	2012-14
2012-04-09	2	0.0	10.9	36	19.7	50.2	2012-15
2012-04-16	10	0.0	10.9	44	19.3	49.5	2012-16
2012-04-23	9	0.0	10.9	36	18.9	48.9	2012-17
2012-04-30	2	0.0	10.9	29	18.5	48.2	2012-18
2012-05-07	8	0.0	10.9	37	18.2	47.8	2012-19
2012-05-14	5	0.0	10.9	41	17.9	47.3	2012-20
2012-05-21	7	0.0	11.0	29	17.6	46.9	2012-21
2012-05-28	9	0.0	11.0	33	17.5	46.7	2012-22
2012-06-04	8	0.0	11.0	26	17.4	46.6	2012-23
2012-06-11	6	0.0	11.0	35	17.3	46.4	2012-24
2012-06-18	5	0.0	11.0	39	17.4	46.5	2012-25
2012-06-25	6	0.0	11.0	22	17.5	46.7	2012-26
2012-07-02	7	0.0	11.0	24	17.6	46.8	2012-27
2012-07-09	4	0.0	11.0	25	17.7	47.1	2012-28
2012-07-16	4	0.0	11.0	25	17.9	47.3	2012-29
2012-07-23	5	0.0	11.0	32	18.0	47.5	2012-30
2012-07-30	3	0.0	11.0	33	18.2	47.7	2012-31
2012-08-06	6	0.0	11.0	38	18.2	47.8	2012-32
2012-08-13	7	0.0	11.0	32	18.2	47.8	2012-33
2012-08-20	5	0.0	11.0	32	18.2	47.9	2012-34
2012-08-27	5	0.0	11.1	34	18.3	47.9	2012-35
2012-09-03	2	0.0	11.1	29	18.3	47.9	2012-36
2012-09-10	2	0.0	11.1	28	18.3	48.0	2012-37
2012-09-17	9	0.0	11.1	28	18.4	48.1	2012-38
2012-09-24	4	0.0	11.1	32	18.5	48.3	2012-39
2012-10-01	7	0.0	11.1	41	18.6	48.5	2012-40
2012-10-08	6	0.0	11.1	43	18.8	48.7	2012-41
2012-10-15	8	0.0	11.1	49	19.0	49.0	2012-42
2012-10-22	11	0.0	11.1	40	19.1	49.2	2012-43
2012-10-29	8	0.0	11.1	26	19.3	49.5	2012-44
2012-11-05	7	0.0	11.1	30	19.4	49.7	2012-45
2012-11-12	6	0.0	11.1	47	19.5	49.8	2012-46
2012-11-19	5	0.0	11.1	45	19.6	50.0	2012-47
2012-11-26	6	0.0	11.1	37	19.7	50.2	2012-48
2012-12-03	5	0.0	11.1	38	19.8	50.4	2012-49
2012-12-10	3	0.0	11.1	44	20.0	50.5	2012-50
2012-12-17	8	0.0	11.1	42	20.0	50.7	2012-51
2012-12-24	3	0.0	11.1	45	20.1	50.8	2012-52
2012-12-31	8	0.0	10.9	35	23.2	55.5	2013-01
2013-01-07	8	0.0	10.9	47	23.0	55.2	2013-02
2013-01-14	7	0.0	10.9	30	22.8	54.9	2013-03
2013-01-21	4	0.0	10.9	34	22.6	54.6	2013-04
2013-01-28	5	0.0	10.9	48	22.4	54.3	2013-05
2013-02-04	6	0.0	10.9	34	22.2	53.9	2013-06
2013-02-11	5	0.0	10.9	37	21.9	53.6	2013-07
2013-02-18	5	0.0	10.9	28	21.7	53.3	2013-08
2013-02-25	12	0.0	11.0	44	21.5	52.9	2013-09
2013-03-04	6	0.0	11.0	34	21.3	52.6	2013-10
2013-03-11	9	0.0	11.0	36	21.0	52.2	2013-11
2013-03-18	6	0.0	11.0	39	20.7	51.7	2013-12
2013-03-25	5	0.0	11.0	47	20.4	51.2	2013-13
2013-04-01	5	0.0	11.0	56	20.1	50.7	2013-14
2013-04-08	2	0.0	11.0	37	19.7	50.1	2013-15
2013-04-15	3	0.0	11.1	38	19.3	49.5	2013-16
2013-04-22	6	0.0	11.1	38	18.9	48.9	2013-17
2013-04-29	6	0.0	11.1	37	18.5	48.3	2013-18
2013-05-06	3	0.0	11.1	27	18.3	48.0	2013-19
2013-05-13	6	0.0	11.1	22	18.1	47.6	2013-20
2013-05-20	5	0.0	11.1	34	17.8	47.2	2013-21
2013-05-27	3	0.0	11.1	34	17.7	47.1	2013-22
2013-06-03	3	0.0	11.1	25	17.6	46.9	2013-23
2013-06-10	6	0.0	11.2	27	17.5	46.7	2013-24
2013-06-17	6	0.0	11.2	42	17.5	46.7	2013-25
2013-06-24	10	0.0	11.2	36	17.5	46.7	2013-26
2013-07-01	2	0.0	11.2	42	17.5	46.7	2013-27
2013-07-08	5	0.0	11.2	37	17.6	46.9	2013-28
2013-07-15	4	0.0	11.2	29	17.7	47.0	2013-29
2013-07-22	7	0.0	11.2	27	17.8	47.2	2013-30
2013-07-29	5	0.0	11.2	24	17.9	47.3	2013-31
2013-08-05	8	0.0	11.2	29	18.0	47.4	2013-32
2013-08-12	6	0.0	11.2	35	18.0	47.5	2013-33
2013-08-19	2	0.0	11.2	36	18.1	47.6	2013-34
2013-08-26	5	0.0	11.2	28	18.2	47.7	2013-35
2013-09-02	6	0.0	11.2	35	18.3	47.9	2013-36
2013-09-09	6	0.0	11.2	32	18.3	48.0	2013-37
2013-09-16	6	0.0	11.2	34	18.5	48.3	2013-38
2013-09-23	6	0.0	11.2	32	18.7	48.6	2013-39
2013-09-30	5	0.0	11.2	24	18.9	48.8	2013-40
2013-10-07	4	0.0	11.2	24	19.1	49.2	2013-41
2013-10-14	3	0.0	11.2	26	19.3	49.5	2013-42
2013-10-21	2	0.0	11.2	38	19.5	49.8	2013-43
2013-10-28	3	0.0	11.2	33	19.7	50.1	2013-44
2013-11-04	1	0.0	11.1	32	19.9	50.4	2013-45
2013-11-11	5	0.0	11.1	38	20.0	50.7	2013-46
2013-11-18	3	0.0	11.1	34	20.2	50.9	2013-47
2013-11-25	7	0.0	11.1	34	20.4	51.2	2013-48
2013-12-02	6	0.0	11.1	29	20.6	51.5	2013-49
2013-12-09	3	0.0	11.1	42	20.7	51.7	2013-50
2013-12-16	5	0.0	11.1	37	20.9	52.0	2013-51
2013-12-23	2	0.0	11.1	40	21.0	52.2	2013-52
2013-12-30	10	0.0	10.8	37	22.7	54.7	2014-01
2014-01-06	6	0.0	10.8	41	22.6	54.6	2014-02
2014-01-13	10	0.0	10.8	49	22.5	54.5	2014-03
2014-01-20	10	0.0	10.8	46	22.5	54.4	2014-04
2014-01-27	6	0.0	10.8	40	22.4	54.3	2014-05
2014-02-03	5	0.0	10.8	42	22.3	54.2	2014-06
2014-02-10	4	0.0	10.8	30	22.2	54.0	2014-07
2014-02-17	7	0.0	10.8	36	22.0	53.7	2014-08
2014-02-24	6	0.0	10.8	44	21.8	53.4	2014-09
2014-03-03	6	0.0	10.8	41	21.6	53.1	2014-10
2014-03-10	5	0.0	10.8	40	21.4	52.7	2014-11
2014-03-17	7	0.0	10.9	38	21.1	52.2	2014-12
2014-03-24	6	0.0	10.9	26	20.7	51.8	2014-13
2014-03-31	6	0.0	10.9	30	20.4	51.3	2014-14
2014-04-07	5	0.0	10.9	38	20.0	50.6	2014-15
2014-04-14	3	0.0	10.9	30	19.6	50.0	2014-16
2014-04-21	5	0.0	10.9	33	19.2	49.3	2014-17
2014-04-28	4	0.0	10.9	37	18.8	48.7	2014-18
2014-05-05	4	0.0	10.9	33	18.4	48.1	2014-19
2014-05-12	5	0.0	10.9	28	18.0	47.5	2014-20
2014-05-19	2	0.0	10.9	26	17.6	46.9	2014-21
2014-05-26	3	0.0	10.9	41	17.5	46.6	2014-22
2014-06-02	7	0.0	10.9	29	17.3	46.3	2014-23
2014-06-09	6	0.0	11.0	44	17.1	46.1	2014-24
2014-06-16	9	0.0	11.0	24	17.1	46.1	2014-25
2014-06-23	8	0.0	11.0	30	17.2	46.1	2014-26
2014-06-30	4	0.0	11.0	30	17.2	46.2	2014-27
2014-07-07	10	0.0	11.0	35	17.4	46.5	2014-28
2014-07-14	3	0.0	11.0	40	17.5	46.7	2014-29
2014-07-21	5	0.0	11.0	27	17.7	46.9	2014-30
2014-07-28	3	0.0	11.0	34	17.8	47.1	2014-31
2014-08-04	4	0.0	11.0	36	17.8	47.2	2014-32
2014-08-11	2	0.0	10.9	35	17.8	47.2	2014-33
2014-08-18	5	0.0	10.9	34	17.8	47.2	2014-34
2014-08-25	6	0.0	10.9	33	17.9	47.2	2014-35
2014-09-01	8	0.0	10.9	25	17.9	47.3	2014-36
2014-09-08	6	0.0	10.9	42	17.9	47.3	2014-37
2014-09-15	8	0.0	10.9	37	18.0	47.5	2014-38
2014-09-22	6	0.0	10.9	38	18.1	47.7	2014-39
2014-09-29	6	0.0	10.9	43	18.2	47.9	2014-40
2014-10-06	5	0.0	10.9	35	18.5	48.3	2014-41
2014-10-13	3	0.0	10.9	34	18.8	48.8	2014-42
2014-10-20	2	0.0	10.9	42	19.2	49.4	2014-43
2014-10-27	6	0.0	10.9	30	19.6	50.0	2014-44
2014-11-03	8	0.0	10.9	36	19.9	50.5	2014-45
2014-11-10	3	0.0	10.9	38	20.2	50.9	2014-46
2014-11-17	6	0.0	10.9	43	20.5	51.4	2014-47
2014-11-24	6	0.0	10.9	43	20.6	51.5	2014-48
2014-12-01	3	0.0	10.9	42	20.7	51.7	2014-49
2014-12-08	2	0.0	10.8	38	20.8	51.8	2014-50
2014-12-15	3	0.0	10.8	38	20.8	51.9	2014-51
2014-12-22	8	0.0	10.8	35	20.8	51.9	2014-52
2014-12-29	9	0.0	10.9	28	22.9	55.1	2015-01
2015-01-05	7	0.0	10.9	41	23.0	55.1	2015-02
2015-01-12	6	0.0	10.9	41	23.0	55.2	2015-03
2015-01-19	6	0.0	10.9	44	23.0	55.2	2015-04
2015-01-26	3	0.0	10.9	44	23.0	55.2	2015-05
2015-02-02	8	0.0	10.9	48	23.0	55.2	2015-06
2015-02-09	3	0.0	10.9	47	23.0	55.2	2015-07
2015-02-16	9	0.0	10.9	53	22.8	54.9	2015-08
2015-02-23	6	0.0	10.9	46	22.6	54.7	2015-09
2015-03-02	5	0.0	10.9	42	22.4	54.3	2015-10
2015-03-09	2	0.0	10.9	48	22.1	53.8	2015-11
2015-03-16	5	0.0	10.9	42	21.7	53.3	2015-12
2015-03-23	5	0.0	10.9	45	21.3	52.7	2015-13
2015-03-30	3	0.0	10.9	40	20.9	52.1	2015-14
2015-04-06	4	0.0	10.9	27	20.4	51.2	2015-15
2015-04-13	3	0.0	10.9	35	19.9	50.4	2015-16
2015-04-20	9	0.0	10.9	39	19.4	49.7	2015-17
2015-04-27	4	0.0	10.9	38	19.0	49.0	2015-18
2015-05-04	7	0.0	10.9	30	18.6	48.5	2015-19
2015-05-11	3	0.0	10.9	33	18.3	47.9	2015-20
2015-05-18	5	0.0	10.9	35	17.9	47.3	2015-21
2015-05-25	4	0.0	10.9	33	17.7	47.0	2015-22
2015-06-01	1	0.0	10.9	34	17.5	46.7	2015-23
2015-06-08	6	0.0	10.8	35	17.3	46.4	2015-24
2015-06-15	5	0.0	10.8	35	17.4	46.5	2015-25
2015-06-22	6	0.0	10.8	36	17.4	46.5	2015-26
2015-06-29	3	0.0	10.8	51	17.5	46.6	2015-27
2015-07-06	8	0.0	10.8	51	17.7	47.0	2015-28
2015-07-13	7	0.0	10.8	43	17.9	47.3	2015-29
2015-07-20	4	0.0	10.8	39	18.1	47.6	2015-30
2015-07-27	6	0.0	10.8	28	18.3	47.9	2015-31
2015-08-03	3	0.0	10.8	32	18.4	48.2	2015-32
2015-08-10	13	0.0	10.8	30	18.6	48.4	2015-33
2015-08-17	5	0.0	10.8	40	18.7	48.6	2015-34
2015-08-24	4	0.0	10.8	33	18.8	48.7	2015-35
2015-08-31	4	0.0	10.9	35	18.8	48.8	2015-36
2015-09-07	10	0.0	10.9	38	18.9	48.9	2015-37
2015-09-14	3	0.0	10.9	32	19.0	49.1	2015-38
2015-09-21	3	0.0	10.9	28	19.1	49.3	2015-39
2015-09-28	1	0.0	10.9	34	19.3	49.5	2015-40
2015-10-05	8	0.0	10.9	28	19.6	49.9	2015-41
2015-10-12	3	0.0	10.9	32	19.9	50.4	2015-42
2015-10-19	3	0.0	10.9	29	20.3	51.1	2015-43
2015-10-26	3	0.0	10.9	35	20.7	51.8	2015-44
2015-11-02	4	0.0	10.9	22	21.1	52.3	2015-45
2015-11-09	6	0.0	10.9	25	21.4	52.8	2015-46
2015-11-16	1	0.0	10.9	37	21.8	53.4	2015-47
2015-11-23	3	0.0	10.9	31	22.0	53.6	2015-48
2015-11-30	3	0.0	10.9	34	22.1	53.9	2015-49
2015-12-07	3	0.0	10.9	35	22.3	54.1	2015-50
2015-12-14	3	0.0	10.9	29	22.4	54.3	2015-51
2015-12-21	3	0.0	10.9	38	22.5	54.5	2015-52
2015-12-28	3	0.0	10.9	41	22.6	54.7	2015-53
2016-01-04	5	0.0	11.0	24	24.1	56.8	2016-01
2016-01-11	4	0.0	11.0	31	24.0	56.7	2016-02
2016-01-18	5	0.0	11.0	37	23.9	56.6	2016-03
2016-01-25	2	0.0	10.9	33	23.8	56.4	2016-04
2016-02-01	3	0.0	10.9	28	23.6	56.2	2016-05
2016-02-08	3	0.0	10.8	29	23.5	56.0	2016-06
2016-02-15	6	0.0	10.8	45	23.4	55.8	2016-07
2016-02-22	5	0.0	10.8	30	23.2	55.5	2016-08
2016-02-29	6	0.0	10.8	45	23.0	55.2	2016-09
2016-03-07	9	0.0	10.7	33	22.6	54.7	2016-10
2016-03-14	3	0.0	10.7	29	22.3	54.2	2016-11
2016-03-21	8	0.0	10.7	30	21.9	53.6	2016-12
2016-03-28	8	0.0	10.6	39	21.5	53.0	2016-13
2016-04-04	2	0.0	10.6	38	21.2	52.4	2016-14
2016-04-11	2	0.0	10.6	36	20.6	51.6	2016-15
2016-04-18	4	0.0	10.6	32	20.1	50.8	2016-16
2016-04-25	2	0.0	10.5	28	19.7	50.2	2016-17
2016-05-02	5	0.0	10.5	24	19.3	49.5	2016-18
2016-05-09	3	0.0	10.5	34	19.0	49.1	2016-19
2016-05-16	3	0.0	10.5	37	18.8	48.7	2016-20
2016-05-23	5	0.0	10.5	39	18.5	48.3	2016-21
2016-05-30	4	0.0	10.5	39	18.4	48.1	2016-22
2016-06-06	11	0.0	10.5	29	18.3	48.0	2016-23
2016-06-13	6	0.0	10.6	32	18.2	47.8	2016-24
2016-06-20	5	0.0	10.6	34	18.3	47.9	2016-25
2016-06-27	2	0.0	10.6	33	18.3	48.0	2016-26
2016-07-04	2	0.0	10.6	28	18.4	48.1	2016-27
2016-07-11	5	0.0	10.7	32	18.5	48.3	2016-28
2016-07-18	3	0.0	10.7	27	18.7	48.5	2016-29
2016-07-25	3	0.0	10.7	40	18.9	48.8	2016-30
2016-08-01	5	0.0	10.7	33	19.0	49.1	2016-31
2016-08-08	2	0.0	10.7	31	19.1	49.3	2016-32
2016-08-15	7	0.0	10.8	50	19.3	49.5	2016-33
2016-08-22	5	0.0	10.8	37	19.4	49.6	2016-34
2016-08-29	7	0.0	10.8	35	19.4	49.7	2016-35
2016-09-05	4	0.0	10.7	23	19.5	49.8	2016-36
2016-09-12	3	0.0	10.7	33	19.5	49.9	2016-37
2016-09-19	4	0.0	10.6	33	19.6	50.0	2016-38
2016-09-26	2	0.0	10.6	32	19.7	50.2	2016-39
2016-10-03	4	0.0	10.5	34	19.9	50.4	2016-40
2016-10-10	4	0.0	10.5	31	20.1	50.7	2016-41
2016-10-17	2	0.0	10.4	27	20.3	51.0	2016-42
2016-10-24	4	0.0	10.4	29	20.6	51.5	2016-43
2016-10-31	1	0.0	10.3	35	20.8	51.9	2016-44
2016-11-07	1	0.0	10.3	33	21.2	52.4	2016-45
2016-11-14	7	0.0	10.2	34	21.5	52.9	2016-46
2016-11-21	1	0.0	10.2	38	21.8	53.4	2016-47
2016-11-28	8	0.0	10.1	37	22.2	53.9	2016-48
2016-12-05	8	0.0	10.0	39	22.5	54.4	2016-49
2016-12-12	3	0.0	10.0	44	22.8	54.9	2016-50
2016-12-19	4	0.0	9.9	47	23.1	55.4	2016-51
2016-12-26	10	0.0	9.8	50	23.5	55.9	2016-52
2017-01-02	5	0.0	10.7	43	22.5	54.5	2017-01
2017-01-09	5	0.0	10.6	57	22.5	54.5	2017-02
2017-01-16	4	0.0	10.6	54	22.5	54.5	2017-03
2017-01-23	6	0.0	10.6	34	22.5	54.4	2017-04
2017-01-30	4	0.0	10.6	32	22.4	54.4	2017-05
2017-02-06	6	0.0	10.6	64	22.4	54.3	2017-06
2017-02-13	1	0.0	10.5	40	22.3	54.2	2017-07
2017-02-20	3	0.0	10.5	41	22.3	54.1	2017-08
2017-02-27	7	0.0	10.5	39	22.2	54.0	2017-09
2017-03-06	3	0.0	10.5	40	22.0	53.7	2017-10
2017-03-13	2	0.0	10.5	41	21.8	53.4	2017-11
2017-03-20	7	0.0	10.5	33	21.5	52.9	2017-12
2017-03-27	3	0.0	10.4	34	21.1	52.4	2017-13
2017-04-03	7	0.0	10.4	39	20.8	51.8	2017-14
2017-04-10	3	0.0	10.4	23	20.3	51.1	2017-15
2017-04-17	3	0.0	10.4	34	19.9	50.4	2017-16
2017-04-24	7	0.0	10.4	33	19.5	49.8	2017-17
2017-05-01	2	0.0	10.4	33	19.1	49.1	2017-18
2017-05-08	4	0.0	10.3	30	18.8	48.7	2017-19
2017-05-15	5	0.0	10.3	31	18.5	48.2	2017-20
2017-05-22	4	0.0	10.3	27	18.2	47.8	2017-21
2017-05-29	3	0.0	10.3	33	18.1	47.6	2017-22
